fn_5_0 = .text:0x00000000; // type:function size:0xA4
fn_5_24D60 = .text:0x00024D60; // type:function size:0x38
fn_5_24D98 = .text:0x00024D98; // type:function size:0x3C
fn_5_24DD4 = .text:0x00024DD4; // type:function size:0x44
fn_5_24E18 = .text:0x00024E18; // type:function size:0x38
fn_5_24E50 = .text:0x00024E50; // type:function size:0x4
fn_5_24E54 = .text:0x00024E54; // type:function size:0x38
fn_5_24E8C = .text:0x00024E8C; // type:function size:0x280
fn_5_2510C = .text:0x0002510C; // type:function size:0x50
fn_5_2515C = .text:0x0002515C; // type:function size:0x50C
fn_5_25668 = .text:0x00025668; // type:function size:0xD8
fn_5_25740 = .text:0x00025740; // type:function size:0x100
fn_5_25840 = .text:0x00025840; // type:function size:0x8C
fn_5_258CC = .text:0x000258CC; // type:function size:0x264
fn_5_25B30 = .text:0x00025B30; // type:function size:0x10C
fn_5_25C3C = .text:0x00025C3C; // type:function size:0x38
fn_5_25C74 = .text:0x00025C74; // type:function size:0x2A0
fn_5_25F14 = .text:0x00025F14; // type:function size:0x348
fn_5_2625C = .text:0x0002625C; // type:function size:0x98
fn_5_262F4 = .text:0x000262F4; // type:function size:0x4
fn_5_262F8 = .text:0x000262F8; // type:function size:0x4
fn_5_262FC = .text:0x000262FC; // type:function size:0x178
fn_5_26474 = .text:0x00026474; // type:function size:0x34
fn_5_264A8 = .text:0x000264A8; // type:function size:0x128
fn_5_265D0 = .text:0x000265D0; // type:function size:0x11C
fn_5_266EC = .text:0x000266EC; // type:function size:0x18C
fn_5_26878 = .text:0x00026878; // type:function size:0x134
fn_5_269AC = .text:0x000269AC; // type:function size:0xD8
fn_5_26A84 = .text:0x00026A84; // type:function size:0x2CC
fn_5_26D50 = .text:0x00026D50; // type:function size:0x1F0
fn_5_26F40 = .text:0x00026F40; // type:function size:0x1BC
fn_5_270FC = .text:0x000270FC; // type:function size:0x2EC
fn_5_273E8 = .text:0x000273E8; // type:function size:0x8C
fn_5_27474 = .text:0x00027474; // type:function size:0x94
fn_5_27508 = .text:0x00027508; // type:function size:0x4
fn_5_2750C = .text:0x0002750C; // type:function size:0x210
fn_5_2771C = .text:0x0002771C; // type:function size:0x114
fn_5_27830 = .text:0x00027830; // type:function size:0x148
fn_5_27978 = .text:0x00027978; // type:function size:0xFC0
fn_5_28938 = .text:0x00028938; // type:function size:0xA8
fn_5_289E0 = .text:0x000289E0; // type:function size:0x74
fn_5_28A54 = .text:0x00028A54; // type:function size:0x1E4
fn_5_28C38 = .text:0x00028C38; // type:function size:0x120
fn_5_28D58 = .text:0x00028D58; // type:function size:0x5A8
fn_5_29300 = .text:0x00029300; // type:function size:0x9C
fn_5_2939C = .text:0x0002939C; // type:function size:0x1C4
fn_5_29560 = .text:0x00029560; // type:function size:0x1C4
fn_5_29724 = .text:0x00029724; // type:function size:0x170
fn_5_29894 = .text:0x00029894; // type:function size:0x108
fn_5_2999C = .text:0x0002999C; // type:function size:0x138
fn_5_29AD4 = .text:0x00029AD4; // type:function size:0x184
fn_5_29C58 = .text:0x00029C58; // type:function size:0x584
fn_5_2A1DC = .text:0x0002A1DC; // type:function size:0x348
fn_5_2A524 = .text:0x0002A524; // type:function size:0x1C
fn_5_2A540 = .text:0x0002A540; // type:function size:0xC4
fn_5_2A604 = .text:0x0002A604; // type:function size:0x4
fn_5_2A608 = .text:0x0002A608; // type:function size:0xB4
fn_5_2A6BC = .text:0x0002A6BC; // type:function size:0x4
fn_5_2A6C0 = .text:0x0002A6C0; // type:function size:0x12C
fn_5_2A7EC = .text:0x0002A7EC; // type:function size:0x4
fn_5_2A7F0 = .text:0x0002A7F0; // type:function size:0xD8
fn_5_2A8C8 = .text:0x0002A8C8; // type:function size:0x180
fn_5_2AA48 = .text:0x0002AA48; // type:function size:0x4C
fn_5_2AA94 = .text:0x0002AA94; // type:function size:0x458
fn_5_2AEEC = .text:0x0002AEEC; // type:function size:0xF8
fn_5_2AFE4 = .text:0x0002AFE4; // type:function size:0x508
fn_5_2B4EC = .text:0x0002B4EC; // type:function size:0x158
fn_5_2B644 = .text:0x0002B644; // type:function size:0x4
fn_5_2B648 = .text:0x0002B648; // type:function size:0x40
fn_5_2B688 = .text:0x0002B688; // type:function size:0x164
fn_5_2B7EC = .text:0x0002B7EC; // type:function size:0x30
fn_5_2B81C = .text:0x0002B81C; // type:function size:0x30
fn_5_2B84C = .text:0x0002B84C; // type:function size:0x84
fn_5_2B8D0 = .text:0x0002B8D0; // type:function size:0xCC
_rename_SetRelLocal = .text:0x0002B99C; // type:function size:0x28
fn_5_2B9C4 = .text:0x0002B9C4; // type:function size:0x140
fn_5_2BB04 = .text:0x0002BB04; // type:function size:0x98
fn_5_2BB9C = .text:0x0002BB9C; // type:function size:0xEC
fn_5_2BC88 = .text:0x0002BC88; // type:function size:0x29C
fn_5_2BF24 = .text:0x0002BF24; // type:function size:0x224
fn_5_2C148 = .text:0x0002C148; // type:function size:0x324
fn_5_2C46C = .text:0x0002C46C; // type:function size:0x8E0
fn_5_2CD4C = .text:0x0002CD4C; // type:function size:0x1D9C
fn_5_2EAE8 = .text:0x0002EAE8; // type:function size:0xBD8
fn_5_2F6C0 = .text:0x0002F6C0; // type:function size:0x22C
fn_5_2F8EC = .text:0x0002F8EC; // type:function size:0x40
fn_5_2F92C = .text:0x0002F92C; // type:function size:0x260
fn_5_2FB8C = .text:0x0002FB8C; // type:function size:0xBC
fn_5_2FC48 = .text:0x0002FC48; // type:function size:0x188
fn_5_2FDD0 = .text:0x0002FDD0; // type:function size:0x128
fn_5_2FEF8 = .text:0x0002FEF8; // type:function size:0x54
fn_5_2FF4C = .text:0x0002FF4C; // type:function size:0x7EC
fn_5_30738 = .text:0x00030738; // type:function size:0xB0
fn_5_307E8 = .text:0x000307E8; // type:function size:0xB4
fn_5_3089C = .text:0x0003089C; // type:function size:0x2C
fn_5_308C8 = .text:0x000308C8; // type:function size:0x30
fn_5_308F8 = .text:0x000308F8; // type:function size:0x13C
fn_5_30A34 = .text:0x00030A34; // type:function size:0x688
fn_5_310BC = .text:0x000310BC; // type:function size:0x550
fn_5_3160C = .text:0x0003160C; // type:function size:0xC4
fn_5_316D0 = .text:0x000316D0; // type:function size:0xFC
fn_5_317CC = .text:0x000317CC; // type:function size:0x6C
fn_5_31838 = .text:0x00031838; // type:function size:0x1D8
fn_5_31A10 = .text:0x00031A10; // type:function size:0xA8
fn_5_31AB8 = .text:0x00031AB8; // type:function size:0xEDC
fn_5_32994 = .text:0x00032994; // type:function size:0x74
fn_5_32A08 = .text:0x00032A08; // type:function size:0x2A0
fn_5_32CA8 = .text:0x00032CA8; // type:function size:0x108
fn_5_32DB0 = .text:0x00032DB0; // type:function size:0x30
fn_5_32DE0 = .text:0x00032DE0; // type:function size:0x8C
fn_5_32E6C = .text:0x00032E6C; // type:function size:0xD4
fn_5_32F40 = .text:0x00032F40; // type:function size:0x174
fn_5_330B4 = .text:0x000330B4; // type:function size:0x17C
fn_5_33230 = .text:0x00033230; // type:function size:0x94
fn_5_332C4 = .text:0x000332C4; // type:function size:0x28
fn_5_332EC = .text:0x000332EC; // type:function size:0x2D0
fn_5_335BC = .text:0x000335BC; // type:function size:0x58
fn_5_33614 = .text:0x00033614; // type:function size:0xA6C
fn_5_34080 = .text:0x00034080; // type:function size:0xD0
fn_5_34150 = .text:0x00034150; // type:function size:0x244
fn_5_34394 = .text:0x00034394; // type:function size:0x17C
fn_5_34510 = .text:0x00034510; // type:function size:0x8FC
fn_5_34E0C = .text:0x00034E0C; // type:function size:0x98
fn_5_34EA4 = .text:0x00034EA4; // type:function size:0x54
fn_5_34EF8 = .text:0x00034EF8; // type:function size:0x58
fn_5_34F50 = .text:0x00034F50; // type:function size:0x2C4
fn_5_35214 = .text:0x00035214; // type:function size:0x84
fn_5_35298 = .text:0x00035298; // type:function size:0x147C
fn_5_36714 = .text:0x00036714; // type:function size:0x2E0
fn_5_369F4 = .text:0x000369F4; // type:function size:0x110
fn_5_36B04 = .text:0x00036B04; // type:function size:0xF8
fn_5_36BFC = .text:0x00036BFC; // type:function size:0x4
fn_5_36C00 = .text:0x00036C00; // type:function size:0x264
fn_5_36E64 = .text:0x00036E64; // type:function size:0x148
fn_5_36FAC = .text:0x00036FAC; // type:function size:0x48
fn_5_36FF4 = .text:0x00036FF4; // type:function size:0x1A4
fn_5_37198 = .text:0x00037198; // type:function size:0x1AC
fn_5_37344 = .text:0x00037344; // type:function size:0x154
fn_5_37498 = .text:0x00037498; // type:function size:0x4
fn_5_3749C = .text:0x0003749C; // type:function size:0x138
fn_5_375D4 = .text:0x000375D4; // type:function size:0x368
fn_5_3793C = .text:0x0003793C; // type:function size:0x224
fn_5_37B60 = .text:0x00037B60; // type:function size:0x20
fn_5_37B80 = .text:0x00037B80; // type:function size:0x4C
fn_5_37BCC = .text:0x00037BCC; // type:function size:0xC4
fn_5_37C90 = .text:0x00037C90; // type:function size:0x20
fn_5_37CB0 = .text:0x00037CB0; // type:function size:0x3C
fn_5_37CEC = .text:0x00037CEC; // type:function size:0x9C
fn_5_37D88 = .text:0x00037D88; // type:function size:0x70
fn_5_37DF8 = .text:0x00037DF8; // type:function size:0x88
fn_5_37E80 = .text:0x00037E80; // type:function size:0x3EC
fn_5_3826C = .text:0x0003826C; // type:function size:0x2C
fn_5_38298 = .text:0x00038298; // type:function size:0x5C
fn_5_382F4 = .text:0x000382F4; // type:function size:0x80
fn_5_38374 = .text:0x00038374; // type:function size:0x1B0
fn_5_38524 = .text:0x00038524; // type:function size:0x184
fn_5_386A8 = .text:0x000386A8; // type:function size:0x4C
fn_5_386F4 = .text:0x000386F4; // type:function size:0x968
fn_5_3905C = .text:0x0003905C; // type:function size:0x1BC
fn_5_39218 = .text:0x00039218; // type:function size:0x268
fn_5_39480 = .text:0x00039480; // type:function size:0x4A4
fn_5_39924 = .text:0x00039924; // type:function size:0x12C
fn_5_39A50 = .text:0x00039A50; // type:function size:0x124
fn_5_39B74 = .text:0x00039B74; // type:function size:0x98
fn_5_39C0C = .text:0x00039C0C; // type:function size:0x238
fn_5_39E44 = .text:0x00039E44; // type:function size:0xF0
fn_5_39F34 = .text:0x00039F34; // type:function size:0x17C
fn_5_3A0B0 = .text:0x0003A0B0; // type:function size:0xC
fn_5_3A0BC = .text:0x0003A0BC; // type:function size:0x50
fn_5_3A10C = .text:0x0003A10C; // type:function size:0x50
fn_5_3A15C = .text:0x0003A15C; // type:function size:0x50
fn_5_3A1AC = .text:0x0003A1AC; // type:function size:0x38
fn_5_3A1E4 = .text:0x0003A1E4; // type:function size:0x50
fn_5_3A234 = .text:0x0003A234; // type:function size:0x38
fn_5_3A26C = .text:0x0003A26C; // type:function size:0x3C
fn_5_3A2A8 = .text:0x0003A2A8; // type:function size:0x4
fn_5_3A2AC = .text:0x0003A2AC; // type:function size:0x38
fn_5_3A2E4 = .text:0x0003A2E4; // type:function size:0x4
fn_5_3A2E8 = .text:0x0003A2E8; // type:function size:0x38
fn_5_3A320 = .text:0x0003A320; // type:function size:0x318
fn_5_3A638 = .text:0x0003A638; // type:function size:0x45C
fn_5_3AA94 = .text:0x0003AA94; // type:function size:0x14
fn_5_3AAA8 = .text:0x0003AAA8; // type:function size:0x1A8
fn_5_3AC50 = .text:0x0003AC50; // type:function size:0x320
fn_5_3AF70 = .text:0x0003AF70; // type:function size:0x1CC
fn_5_3B13C = .text:0x0003B13C; // type:function size:0x14
qFabsf = .text:0x0003B150; // type:function size:0x20 scope:weak
fn_5_3B170 = .text:0x0003B170; // type:function size:0x120
fn_5_3B290 = .text:0x0003B290; // type:function size:0x40
fn_5_3B2D0 = .text:0x0003B2D0; // type:function size:0x98
fn_5_3B368 = .text:0x0003B368; // type:function size:0x12C
fn_5_3B494 = .text:0x0003B494; // type:function size:0x38
fn_5_3B4CC = .text:0x0003B4CC; // type:function size:0x5C
fn_5_3B528 = .text:0x0003B528; // type:function size:0x414
fn_5_3B93C = .text:0x0003B93C; // type:function size:0xD4
fn_5_3BA10 = .text:0x0003BA10; // type:function size:0x64
fn_5_3BA74 = .text:0x0003BA74; // type:function size:0xA0
fn_5_3BB14 = .text:0x0003BB14; // type:function size:0xC8
fn_5_3BBDC = .text:0x0003BBDC; // type:function size:0x38
fn_5_3BC14 = .text:0x0003BC14; // type:function size:0x238
fn_5_3BE4C = .text:0x0003BE4C; // type:function size:0x6C
ObjectSpring = .text:0x0003BEB8; // type:function size:0x35C scope:global
VacumePlayer = .text:0x0003C214; // type:function size:0x4B8 scope:local
SpringDie = .text:0x0003C6CC; // type:function size:0x14 scope:local
DrawSpringGC = .text:0x0003C6E0; // type:function size:0x158 scope:local
DrawSpring = .text:0x0003C838; // type:function size:0x158 scope:local
ObjectSpringB = .text:0x0003C990; // type:function size:0x364 scope:global
DrawSpringBGC = .text:0x0003CCF4; // type:function size:0x16C scope:local
DrawSpringB = .text:0x0003CE60; // type:function size:0x168 scope:local
SpringBDie = .text:0x0003CFC8; // type:function size:0x14 scope:local
fn_5_3CFDC = .text:0x0003CFDC; // type:function size:0x1E4
fn_5_3D1C0 = .text:0x0003D1C0; // type:function size:0x1E4
fn_5_3D3A4 = .text:0x0003D3A4; // type:function size:0x1E4
fn_5_3D588 = .text:0x0003D588; // type:function size:0x1B4
fn_5_3D73C = .text:0x0003D73C; // type:function size:0x1B4
fn_5_3D8F0 = .text:0x0003D8F0; // type:function size:0x24
fn_5_3D914 = .text:0x0003D914; // type:function size:0x1C0
fn_5_3DAD4 = .text:0x0003DAD4; // type:function size:0x190
fn_5_3DC64 = .text:0x0003DC64; // type:function size:0xF8
fn_5_3DD5C = .text:0x0003DD5C; // type:function size:0x128
fn_5_3DE84 = .text:0x0003DE84; // type:function size:0x33C
fn_5_3E1C0 = .text:0x0003E1C0; // type:function size:0x1B0
fn_5_3E370 = .text:0x0003E370; // type:function size:0x1A4
fn_5_3E514 = .text:0x0003E514; // type:function size:0x264
fn_5_3E778 = .text:0x0003E778; // type:function size:0xBC
fn_5_3E834 = .text:0x0003E834; // type:function size:0x30
fn_5_3E864 = .text:0x0003E864; // type:function size:0x530
fn_5_3ED94 = .text:0x0003ED94; // type:function size:0x48
fn_5_3EDDC = .text:0x0003EDDC; // type:function size:0x4C
fn_5_3EE28 = .text:0x0003EE28; // type:function size:0x78
fn_5_3EEA0 = .text:0x0003EEA0; // type:function size:0x4C
fn_5_3EEEC = .text:0x0003EEEC; // type:function size:0x14C
fn_5_3F038 = .text:0x0003F038; // type:function size:0x1F8
fn_5_3F230 = .text:0x0003F230; // type:function size:0x5EC
fn_5_3F81C = .text:0x0003F81C; // type:function size:0xA0
fn_5_3F8BC = .text:0x0003F8BC; // type:function size:0x528
fn_5_3FDE4 = .text:0x0003FDE4; // type:function size:0x20
fn_5_3FE04 = .text:0x0003FE04; // type:function size:0x38
fn_5_3FE3C = .text:0x0003FE3C; // type:function size:0x8C
fn_5_3FEC8 = .text:0x0003FEC8; // type:function size:0x6C
fn_5_3FF34 = .text:0x0003FF34; // type:function size:0x180
fn_5_400B4 = .text:0x000400B4; // type:function size:0x54
fn_5_40108 = .text:0x00040108; // type:function size:0xDC
fn_5_401E4 = .text:0x000401E4; // type:function size:0x58
fn_5_4023C = .text:0x0004023C; // type:function size:0x30
fn_5_4026C = .text:0x0004026C; // type:function size:0x40
fn_5_402AC = .text:0x000402AC; // type:function size:0xA8
fn_5_40354 = .text:0x00040354; // type:function size:0x28
fn_5_4037C = .text:0x0004037C; // type:function size:0x20
fn_5_4039C = .text:0x0004039C; // type:function size:0x58
fn_5_403F4 = .text:0x000403F4; // type:function size:0x2C
fn_5_40420 = .text:0x00040420; // type:function size:0x2C
fn_5_4044C = .text:0x0004044C; // type:function size:0x94
fn_5_404E0 = .text:0x000404E0; // type:function size:0x40
fn_5_40520 = .text:0x00040520; // type:function size:0x28
fn_5_40548 = .text:0x00040548; // type:function size:0x90
fn_5_405D8 = .text:0x000405D8; // type:function size:0x2CC
fn_5_408A4 = .text:0x000408A4; // type:function size:0x50
fn_5_408F4 = .text:0x000408F4; // type:function size:0xE64
fn_5_41758 = .text:0x00041758; // type:function size:0x140
fn_5_41898 = .text:0x00041898; // type:function size:0x8C
fn_5_41924 = .text:0x00041924; // type:function size:0x1FC
fn_5_41B20 = .text:0x00041B20; // type:function size:0x84
fn_5_41BA4 = .text:0x00041BA4; // type:function size:0x4
fn_5_41BA8 = .text:0x00041BA8; // type:function size:0x22C
fn_5_41DD4 = .text:0x00041DD4; // type:function size:0x4
fn_5_41DD8 = .text:0x00041DD8; // type:function size:0x88
fn_5_41E60 = .text:0x00041E60; // type:function size:0x4
fn_5_41E64 = .text:0x00041E64; // type:function size:0x28
fn_5_41E8C = .text:0x00041E8C; // type:function size:0xAC
fn_5_41F38 = .text:0x00041F38; // type:function size:0xCC
fn_5_42004 = .text:0x00042004; // type:function size:0xC4
fn_5_420C8 = .text:0x000420C8; // type:function size:0x424
fn_5_424EC = .text:0x000424EC; // type:function size:0x8C
fn_5_42578 = .text:0x00042578; // type:function size:0x224
fn_5_4279C = .text:0x0004279C; // type:function size:0x100
fn_5_4289C = .text:0x0004289C; // type:function size:0x98
fn_5_42934 = .text:0x00042934; // type:function size:0x68
fn_5_4299C = .text:0x0004299C; // type:function size:0x1BC
fn_5_42B58 = .text:0x00042B58; // type:function size:0x1F8
fn_5_42D50 = .text:0x00042D50; // type:function size:0x148
fn_5_42E98 = .text:0x00042E98; // type:function size:0x94
fn_5_42F2C = .text:0x00042F2C; // type:function size:0x194
fn_5_430C0 = .text:0x000430C0; // type:function size:0x110
fn_5_431D0 = .text:0x000431D0; // type:function size:0xC4
fn_5_43294 = .text:0x00043294; // type:function size:0x20
fn_5_432B4 = .text:0x000432B4; // type:function size:0x378
fn_5_4362C = .text:0x0004362C; // type:function size:0x658
fn_5_43C84 = .text:0x00043C84; // type:function size:0x38
fn_5_43CBC = .text:0x00043CBC; // type:function size:0x4
fn_5_43CC0 = .text:0x00043CC0; // type:function size:0x80
fn_5_43D40 = .text:0x00043D40; // type:function size:0x228
fn_5_43F68 = .text:0x00043F68; // type:function size:0x6C
fn_5_43FD4 = .text:0x00043FD4; // type:function size:0x1C0
fn_5_44194 = .text:0x00044194; // type:function size:0x240
fn_5_443D4 = .text:0x000443D4; // type:function size:0x144
fn_5_44518 = .text:0x00044518; // type:function size:0xF0
fn_5_44608 = .text:0x00044608; // type:function size:0xAC
fn_5_446B4 = .text:0x000446B4; // type:function size:0x20
fn_5_446D4 = .text:0x000446D4; // type:function size:0x128
fn_5_447FC = .text:0x000447FC; // type:function size:0x1AC
fn_5_449A8 = .text:0x000449A8; // type:function size:0x38
fn_5_449E0 = .text:0x000449E0; // type:function size:0x4
fn_5_449E4 = .text:0x000449E4; // type:function size:0x7C
fn_5_44A60 = .text:0x00044A60; // type:function size:0xBC
fn_5_44B1C = .text:0x00044B1C; // type:function size:0xA0
fn_5_44BBC = .text:0x00044BBC; // type:function size:0x120
fn_5_44CDC = .text:0x00044CDC; // type:function size:0x22C
fn_5_44F08 = .text:0x00044F08; // type:function size:0x148
fn_5_45050 = .text:0x00045050; // type:function size:0x4
fn_5_45054 = .text:0x00045054; // type:function size:0xD0
fn_5_45124 = .text:0x00045124; // type:function size:0x1D0
fn_5_452F4 = .text:0x000452F4; // type:function size:0x38
fn_5_4532C = .text:0x0004532C; // type:function size:0x4
fn_5_45330 = .text:0x00045330; // type:function size:0x74
fn_5_453A4 = .text:0x000453A4; // type:function size:0xD4
fn_5_45478 = .text:0x00045478; // type:function size:0x18C
fn_5_45604 = .text:0x00045604; // type:function size:0x94
fn_5_45698 = .text:0x00045698; // type:function size:0xFC
fn_5_45794 = .text:0x00045794; // type:function size:0x6C
